Asset,Minimum,Setup Fee,Deposit Fee
1INCH,5,0,0
AAVE,0.12,0.012,0
ADA,5,0,0
ALGO,1,0,0
ANKR,360,85,0
ANT,3.5,0.9,0
ATOM,1,0,0
AXS,6,0,0
BADGER,5,0,0
BAL,0.3,0.05,0
BAND,7,0,0
BAT,50,6,0
BCH,0.0006,0,0
BNT,8,2,0
BTC,0.0001,0,0
CHZ,80,0,0
COMP,0.05,0.001,0
CQT,5,0,0
CRV,15,0.4,0
CTSI,30,0,0
DAI,30,0,0
DASH,0.01,0,0
DOGE,0,0,0
DOT,1,0,0
ENJ,25,6,0
EOS,0.5,0,0
ETC,0.01,0,Variable on-chain fee to move into Kraken's wallet
ETH,0.05,0,Variable on-chain fee to move into Kraken's wallet
EWT,1,0,Variable on-chain fee to move into Kraken's wallet
FIL,0.1,0,0
FLOW,1,0,0
GHST,100,12,0
GNO,0.3,0.07,0
GRT,80,22,0
ICX,0.1,0,0
INJ,2,0,0
KAR,0.1,0,0
KAVA,35,0,0
KEEP,5,8,0
KNC,1,0.2,0
KSM,0.0105,0,0
LINK,1.5,0.12,0
LPT,1.6,0.4,0
LRC,40,0,0
LSK,1,0,0
LTC,0.01,0,0
MANA,30,12,0
MATIC,100,24,0
MINA,1,1,0
MIR,4,0,0
MKR,0.013,0.003,0
MLN,0.1,0.25,0
MOVR,0.07,0,0
NANO,0.1,0,0
OCEAN,28,5,0
OGN,25,0,0
OMG,6,0.8,0
OXT,100,6,0
PAXG,0.01,0.0005,0
PERP,2,0,0
QTUM,0.1,0,0
RARI,3,0.7,0
REN,60,14,0
REP,1.5,0.1,0
REPV2,1.5,0.05,0
SAND,80,25,0
SC,10,0,0
SDN,0.2,0,0
SNX,2,0.3,0
SOL,0.01,0,0
SRM,0.1,0,0
STORJ,30,1,0
SUSHI,4,1,0
TBTC,0.00075,0.0002,0
TRX,2,0,0
UNI,1,0.4,0
USDC,10,0,0
USDT (ERC20),10,0,0
USDT (OMNI),20,0,0
USDT (TRC20),5,0,0
WAVES,0.01,0,0
WBTC,0.0005,0,0
XLM,0,0,0
XMR,0,0,0
XRP,0,0,0
XTZ,0.8,0.05,0
YFI,0.0008,0.0001,0
ZEC,0.005,0,0
ZRX,24,3,0