Asset,Minimum
1INCH,2
AAVE,0.02
ADA,5
ALGO,5
ANKR,50
ANT,0.5
ATOM,0.3
AUD,10
AXS,2
BADGER,0.5
BAL,0.15
BAND,1
BAT,5
BCH,0.01
BNT,1
BTC,0.0001
CHZ,20
COMP,0.01
CQT,1
CRV,2.5
CTSI,10
DAI,5
DASH,0.03
DOGE,50
DOT,0.2
ENJ,2
EOS,1
ETC,0.35
ETH,0.004
ETH2.S,0.004
EUR,5
EWT,0.5
FIL,0.05
FLOW,0.2
GBP,5
GHST,5
GNO,0.05
GRT,3.5
ICX,3
INJ,0.5
KAR,5
KAVA,1
KEEP,10
KNC,2
KSM,0.02
LINK,0.2
LPT,0.2
LRC,15
LSK,1
LTC,0.03
MANA,7
MATIC,20
MINA,0.2
MIR,1
MKR,0.002
MLN,0.1
MOVR,0.3
NANO,1.5
OCEAN,5
OGN,5
OMG,0.5
OXT,10
PAXG,0.004
PERP,0.5
QTUM,0.5
RARI,0.3
REN,5
REP,0.15
REPV2,0.15
SAND,10
SC,280
SDN,0.3
SNX,0.4
SOL,0.2
SRM,1
STORJ,3
SUSHI,0.5
TBTC,0.0001
TRX,50
UNI,0.2
USD,10
USDC,5
USDT,5
WAVES,0.5
WBTC,0.0001
XLM,10
XMR,0.02
XRP,5
XTZ,1
YFI,0.00015
ZEC,0.035
ZRX,5